Walter White	Heisenberg	Bryan Cranston	Presumed dead
Jesse Pinkman	Cap n' Cook	Aaron Paul	Alive
Skyler White	Sky	Anna Gunn	Alive
Walter White Jr.	Flynn	RJ Mitte	Alive
Henry Schrader	Hank	Dean Norris	Deceased
Marie Schrader	Marie	Betsy Brandt	Alive
Mike Ehrmantraut	Mike	Jonathan Banks	Deceased
Saul Goodman	Jimmy McGill	Bob Odenkirk	Alive
Gustavo Fring	Gus	Giancarlo Esposito	Deceased
Hector Salamanca	Don Hector	Mark Margolis	Deceased
Domingo Molina	Krazy-8	Maximino Arciniega	Deceased
Tuco Salamanca	Tuco	Raymond Cruz	Deceased
Marco & Leonel Salamanca	The Cousins	Luis & Daniel Moncada	Deceased
Lydia Rodarte-Quayle	Lydia	Laura Fraser	Alive
Todd Alquist	Ricky Hitler	Jesse Plemons	Deceased
Jane Margolis	Apology Girl	Krysten Ritter	Deceased
Skinny Pete	Skinny	Charles Baker	Alive
Brandon Mayhew	Badger	Matt L. Jones	Alive
Huell Babineaux	Huell	Lavell Crawford	Alive
Steven Gomez	Gomie	Steven Michael Quezada	Deceased
Theodore Beneke	Ted	Christopher Cousins	Alive
Gale Boetticher	GB	David Costabile	Deceased
Andrea Cantillo	Andrea	Emily Rios	Deceased
Brock Cantillo	Brock	Ian Posada	Alive
Carmen Molina	Carmen	Carmen Serano	Alive
Gretchen Schwartz	Gretchen	Jessica Hecht	Alive
Elliot Schwartz	Elliot	Adam Godley	Alive
Gonzo	Gonzo	Jesus, Payan, Jr.	Deceased
Christian Ortgea	Combo	Rodney Rush	Deceased
Mrs. Pinkman	Jesse's mom	Tess Harper	Alive
Adam Pinkman	Jesse's dad	Michael Bofshever	Alive
Jake Pinkman	Jake	Ben Petry	Alive
No-Doze	No-Doze	Cesar Garcia	Deceased
Emilio Koyama	Emilio	John Koyama	Deceased
Dr. Delcavoli	Dr. Delcavoli	David House	Alive
Wendy S.	Wendy	Julie Minesci	Alive
Bogdan Wolynetz	Bogdan	Marius Stan	Alive
Ken	Ken Wins	Kyle Bornheimer	Alive
Holly White	Holly	Unknown	Alive
George Merkert	ASAC Merkert	Michael Shamus Wiles	Alive
Donald Margolis	Jane's dad	John de Lancie	Unknown
Clovis	Clovis	Tom Kiesche	Alive
SAC Ramey	SAC Ramey	Todd Terry	Alive
Victor	Victor	Jeremiah Bitsui	Deceased
Tomás Cantillo	Andrea's brother	Angelo Martinez	Deceased
Francesca Liddy	Honey Tits	Tina Parker	Alive
Cynthia	Cynthia	Ashley Kajiki	Alive
Tortuga	Tortuga	Danny Trejo	Deceased
Tim Roberts	Detective Roberts	Nigel Gibbs	Alive
Juan Bolsa	Don Juan	Javier Grajeda	Deceased
Group Leader	Counselor	Jere Burns	Alive
Kaylee Ehrmantraut	Mike's Granddaughter	Kaija Rose Bales	Alive
Pamela	Skyler's attorney	Julie Dretzin	Alive
Duane Chow	Chow	James Ning	Deceased
Stacey Ehrmantraut	Mike's daugter-in-law	Kerry Condon	Alive
Officer Saxton	Saxton	Stoney Westmoreland	Alive
Jack Welker	Uncle Jack	Michael Bowen	Deceased
Kimberly Wexler	Kim	Rhea Seehorn	?
Howard Hamlin	Howard	Patrick Fabian	?
Charles McGill	Chuck	Michael McKean	?
Ignacio Varga	Nacho	Michael Mano	?
Eduardo Salamanca	Lalo	Tony Dalton	?
Stacey Ehrmantraut	Stacey	Kerry Condon	?
